field_name,display_name,description,data_type,required,allowed_values,unit,example,missing_value_rule,sensitivity,validation_rule,source,table,primary_key,ai_relevance
putative_compound_name,Putative compound name,Proposed identity. Putative unless MSI level 1.,string,No,,,Warburganal (putative),"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Annotation label; must never be reported as confirmed below level 1.
molecular_formula,Molecular formula,Proposed molecular formula.,string,No,,,C15H20O2,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Structural constraint.
smiles_canonical,Smiles canonical,"Canonical SMILES, RDKit-canonicalised at ingest.",string,No,,,CC1(C)CCC[C@]2(C)[C@@H]1CC=C(C=O)[C@@H]2C=O,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,The molecular tokenization input. Canonicalising on ingest stops one molecule being learned as several unrelated strings.
inchikey,Inchikey,27-character InChIKey where structure is established.,string,No,,,REFJWTPEDVJJIY-UHFFFAOYSA-N,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Exactly 27 characters when present.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,"Deduplication key, join to external compound databases, and the basis of scaffold splitting."
msi_annotation_level,Msi annotation level,Metabolomics Standards Initiative confidence level. LBL-06.,integer,No,1 to 4,MSI level 1-4,2,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 1 and 4.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,The most important honesty field in this table. Levels 3 and 4 are hypotheses.
spectral_library,Spectral library,Library matched against.,string,No,,,GNPS,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Reproducibility.
library_match_score,Library match score,Spectral match score.,float,No,0 to 1,score 0-1,0.87,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 1.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Annotation-confidence weight.
external_db_hit,External db hit,Accession in an external natural-product or compound database.,string,No,,,CNP0123456,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Novelty assessment; links to global chemical space.
compound_class,Compound class,Putative activity class. LBL-05.,category,No,antimicrobial | anti-parasitic | anti-inflammatory | unknown,,antimicrobial,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must be one of: antimicrobial | anti-parasitic | anti-inflammatory | unknown.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,"Assigned from chemistry, never from the traditional indication, so the two streams stay independent."
compound_novelty,Compound novelty,Novelty label against external databases. LBL-07.,category,No,known | analogue | putative_novel | unassessed,,known,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must be one of: known | analogue | putative_novel | unassessed.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Prioritisation label.
annotation_confidence,Annotation confidence,Confidence in the annotation itself. LBL-04.,float,No,0 to 1,score 0-1,0.87,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 1.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Label-noise weight.
file_path_mzml,File path mzml,Relative path to the raw mzML file.,string,Yes,,,raw/zw_src_006_sirdc_lcms/EXT-0141_pos.mzML,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,"Locates the underlying spectra. mzML is an open format; a dataset held in a vendor format is not sovereign, whoever holds the disk."
file_checksum_sha256,File checksum sha256,SHA-256 of the referenced file.,string,Yes,,,2ed9f106ee0630a72489d0a68434611310389850338cfaf94f58fa094ab4,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Exactly 64 lowercase hex characters.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Integrity.
data_sensitivity,Data sensitivity,Release classification. LC-MS profiles are commercially valuable and default to internal.,category,Yes,public | internal | confidential | sensitive | anonymized,,internal,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: public | internal | confidential | sensitive | anonymized.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Access-tier control.
qc_status,Qc status,Outcome of the validation battery for this record.,category,Yes,pending | pass | warning | fail,,pass,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: pending | pass | warning | fail.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Training-set filter.
created_at,Created at,Ingest timestamp.,datetime,Yes,,,2026-09-16T12:00:00+02:00,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. ISO 8601.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Provenance.
tk_id,Tk id,Stable unique identifier for one documented item of heritage knowledge. Format ZW-TK-YYYY-NNN.,string,Yes,,,ZW-TK-2026-001,Not permitted. A missing value fails validation and the record is not admitted.,confidential,"Primary key. Unique, no nulls.",Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,Yes,The provenance anchor. Every benefit-sharing claim resolves through this key.
source_id,Source id,Foreign key to governance/source_register.csv (ZW-SRC-004).,string,Yes,,,ZW-SRC-004,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Provenance.
holder_pseudonym_id,Holder pseudonym id,"Pseudonymous holder identifier. Resolves to a named person only through the encrypted Holder Identity Register held by SIRDC, which is distributed at no access tier.",string,Yes,,,HLD-EH-007,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Never a model input. Its separation from this table is what allows the rest of the dataset to be shared at all.
community_council_id,Community council id,Council that endorsed the interview.,string,Yes,,,CC-CHIMANIMANI-03,Not permitted. A missing value fails validation and the record is not admitted.,internal,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,"Governance, and the unit at which a community can audit what was recorded from it."
council_endorsement_ref,Council endorsement ref,Collective endorsement document.,string,Yes,,,END-CC03-2026-011,Not permitted. A missing value fails validation and the record is not admitted.,internal,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Governance.
consent_reference,Consent reference,Individual FPIC document. Required; a record without one cannot be written.,string,Yes,,,FPIC-ZW-2026-C001,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Governance.
consent_date,Consent date,Date consent was given. Must not be later than the interview date.,date,Yes,,,2026-09-12,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. ISO 8601.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,"Governance. Consent that is not prior is not FPIC, and the constraint enforces the ordering."
collection_language,Collection language,Language the interview was conducted in.,category,Yes,sn | nd | en,,sn,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. Must be one of: sn | nd | en.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Routes text to the correct tokenizer; a bias-monitoring dimension.
interview_date,Interview date,Date of the interview.,date,Yes,,,2026-09-14,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. ISO 8601.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Temporal covariate.
interviewer_id,Interviewer id,Pseudonymous identifier of the community liaison.,string,Yes,,,INT-004,Not permitted. A missing value fails validation and the record is not admitted.,internal,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Enables detection of interviewer-specific bias.
knowledge_type,Knowledge type,Category of knowledge recorded.,category,Yes,plant-disease | preparation | ecological,,plant-disease,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. Must be one of: plant-disease | preparation | ecological.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Routing label for downstream use.
local_plant_name,Local plant name,Plant name as the holder gave it.,string,Yes,,,Muranga,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Entity-linking target against scientific_name.
language_tag,Language tag,"ISO 639-1 tag: sn Shona, nd Ndebele, en English.",category,Yes,sn | nd | en,,sn,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. Must be one of: sn | nd | en.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,The field a corpus-trained tokenizer keys on. An English tokenizer fragments Shona and Ndebele badly; this tag is how the pipeline avoids that.
scientific_name,Scientific name,"Binomial, verified after collection against the National Herbarium.",string,No,,,Warburgia salutaris,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Free text; no constraint beyond type.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Joins the heritage record to the physical sample and its chemistry.
disease_target_local,Disease target local,"Description of use, verbatim in the source language. Never paraphrased without consent.",string,Yes,,,Inoshandiswa pakukosora nekurwadziwa kwechipfuva,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Primary text for language-model training. The verbatim record is the scientific object.
disease_target_en,Disease target en,"English translation. Derived, and flagged as such.",string,No,,,Used for cough and chest complaints,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Free text; no constraint beyond type.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Convenience field only; never the sole source for a claim.
translation_status,Translation status,Whether a bilingual reviewer has verified the translation. LBL-09.,category,Yes,pending | machine_draft | human_verified,,human_verified,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. Must be one of: pending | machine_draft | human_verified.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Records below human_verified are held out of every release tier.
disease_target_icd11,Disease target icd11,ICD-11 mapping of the indication where one exists.,string,No,,,CA23,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Free text; no constraint beyond type.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Interoperability with clinical datasets. The mapping is approximate and flagged as such.
preparation_method,Preparation method,"Preparation as described, verbatim.",string,No,,,Makwati anobikwa kwemaminetsi makumi maviri,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Free text; no constraint beyond type.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,"Determines whether the extraction protocol reproduces the traditional preparation, and therefore whether the chemistry measured is the chemistry used."
preparation_class,Preparation class,Controlled-vocabulary rendering of the preparation.,category,No,decoction | infusion | poultice | powder | maceration | smoke_inhalation | topical_oil | chewed_raw | other,,decoction,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Must be one of: decoction | infusion | poultice | powder | maceration | smoke_inhalation | topical_oil | chewed_raw | other.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,"Machine-readable companion to the verbatim text, which is retained unchanged."
plant_part_used,Plant part used,Part of the plant used.,category,No,root | bark | leaf | stem | flower | fruit | seed | whole | na,,bark,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Must be one of: root | bark | leaf | stem | flower | fruit | seed | whole | na.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Directs which tissue is sampled; chemistry differs sharply by tissue.
administration_route,Administration route,Route of administration.,string,No,,,oral,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Free text; no constraint beyond type.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Contextual covariate.
seasonality_of_use,Seasonality of use,When in the year the preparation is used or harvested.,category,No,dry | wet | both | unspecified,,both,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Must be one of: dry | wet | both | unspecified.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Links to the season tag on the physical sample.
province,Province,Province of the originating community.,string,Yes,,,Manicaland,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Community-level attribution.
district,District,District of the originating community. The default attribution unit.,string,Yes,,,Chimanimani,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Community-level attribution instead of individual identification.
ward,Ward,Ward of the originating community.,string,No,,,W12,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Free text; no constraint beyond type.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Finest attribution unit released.
named_attribution_opt_in,Named attribution opt in,Whether the holder has explicitly opted into being named in publications.,boolean,Yes,0 | 1,,0,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,"Governance. Default is community-level attribution; naming is opt-in, never assumed."
sensitivity_level,Sensitivity level,Holder-assigned classification. The constraint admits public and community-restricted only; sacred is absent by design and cannot be stored.,category,Yes,public | community-restricted,,public,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. Must be one of: public | community-restricted. 'sacred' is not an accepted value; such knowledge is never collected.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Governance. The holder classifies their own knowledge and the schema enforces the classification.
data_sensitivity,Data sensitivity,Release classification under the Annex B vocabulary.,category,Yes,public | internal | confidential | sensitive | anonymized,,confidential,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. Must be one of: public | internal | confidential | sensitive | anonymized.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Access-tier control.
benefit_sharing_agreement_ref,Benefit sharing agreement ref,"Benefit-sharing agreement, signed before collection.",string,Yes,,,BSA-ZW-2026-001,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Governance. Required on every record.
withdrawal_status,Withdrawal status,Whether the holder has withdrawn consent.,category,Yes,active | withdrawn,,active,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. Must be one of: active | withdrawn.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Withdrawal is unconditional. The validator holds any batch with unactioned downstream records.
withdrawal_date,Withdrawal date,Date withdrawal was received. Starts the 30-day action clock.,date,No,,,2026-12-08,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,ISO 8601.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Governance.
audio_recording_ref,Audio recording ref,"Reference to the consented audio recording, restricted tier only.",string,No,,,AUD-RES-001,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Free text; no constraint beyond type.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,"A Shona and Ndebele speech corpus, under a separate consent scope from the knowledge itself."
bilingual_validation_status,Bilingual validation status,Whether a second bilingual reviewer confirmed the record.,category,Yes,pending | passed | failed,,passed,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. Must be one of: pending | passed | failed.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Quality gate.
validator_id,Validator id,Pseudonymous identifier of the bilingual validator.,string,No,,,VAL-002,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",internal,Free text; no constraint beyond type.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Audit.
created_at,Created at,Ingest timestamp.,datetime,Yes,,,2026-09-15T08:12:00+02:00,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. ISO 8601.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Provenance.
record_status,Record status,Lifecycle state.,category,Yes,active | superseded | redacted,,active,Not permitted. A missing value fails validation and the record is not admitted.,confidential,Required; null rejected on insert. Must be one of: active | superseded | redacted.,Stream C — consented interviews (ZW-SRC-004),heritage_knowledge,,Filter applied before any release.
qc_id,Qc id,Stable unique identifier for one validation event. Format ZW-QC-YYYY-NNN.,string,Yes,,,,Not permitted. A missing value fails validation and the record is not admitted.,public,"Primary key. Unique, no nulls.",Derived — scripts/validate.py,qc_log,Yes,Record key.
target_table,Target table,Table the check was run against.,category,Yes,environmental_samples | genomic_sequences | metabolomic_profiles | heritage_knowledge,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: environmental_samples | genomic_sequences | metabolomic_profiles | heritage_knowledge.,Derived — scripts/validate.py,qc_log,,Audit.
target_record_id,Target record id,Identifier of the record checked.,string,Yes,,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Derived — scripts/validate.py,qc_log,,Audit.
check_name,Check name,Name of the check performed.,string,Yes,,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Derived — scripts/validate.py,qc_log,,Audit.
quality_dimension,Quality dimension,Which of the seven Minimum Expectations quality dimensions this check covers.,category,Yes,completeness | accuracy | consistency | validity | uniqueness | timeliness | integrity,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: completeness | accuracy | consistency | validity | uniqueness | timeliness | integrity.,Derived — scripts/validate.py,qc_log,,"Lets a reviewer confirm all seven dimensions are exercised, rather than taking it on trust."
check_type,Check type,Category of check.,category,Yes,schema | completeness | controlled_vocab | range | cross_reference | consent_gate | duplicate | novelty | checksum | privacy | bias_coverage | machine_readability,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: schema | completeness | controlled_vocab | range | cross_reference | consent_gate | duplicate | novelty | checksum | privacy | bias_coverage | machine_readability.,Derived — scripts/validate.py,qc_log,,Audit.
check_result,Check result,"Pass, warning or fail.",category,Yes,pass | warning | fail,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: pass | warning | fail.,Derived — scripts/validate.py,qc_log,,A failing record is not admitted to the bank.
severity,Severity,Severity of the finding.,category,Yes,info | low | medium | high | critical,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: info | low | medium | high | critical.,Derived — scripts/validate.py,qc_log,,Prioritises the correction queue.
message,Message,Human-readable finding.,string,Yes,,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Derived — scripts/validate.py,qc_log,,Audit.
checked_by,Checked by,"Automated, human audit, or bilingual validator.",category,Yes,automated | human_audit | bilingual_validator,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: automated | human_audit | bilingual_validator.,Derived — scripts/validate.py,qc_log,,Distinguishes machine checks from the 10% human audit sample.
checked_at,Checked at,Timestamp of the check.,datetime,Yes,,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. ISO 8601.,Derived — scripts/validate.py,qc_log,,Audit.
issue_owner,Issue owner,Person accountable for resolving the finding.,string,No,,,,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Derived — scripts/validate.py,qc_log,,Closes the loop between detection and correction.
correction_action,Correction action,Action taken or required.,string,No,,,,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Derived — scripts/validate.py,qc_log,,Correction workflow.
corrected_at,Corrected at,Timestamp of correction.,datetime,No,,,,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,ISO 8601.,Derived — scripts/validate.py,qc_log,,Audit.
corrected_by,Corrected by,Who actioned the correction.,string,No,,,,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Derived — scripts/validate.py,qc_log,,Audit.
resolution_status,Resolution status,"Open, resolved or waived. A critical finding cannot be waived without a recorded action and owner.",category,Yes,open | resolved | waived,,,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: open | resolved | waived.,Derived — scripts/validate.py,qc_log,,Audit.
